Name,Country,Club,Position,Age,Goals,Assists,MarketValue(Million)
Lionel Messi,Argentina,Inter Miami,Forward,36,20,18,30
Cristiano Ronaldo,Portugal,Al Nassr,Forward,39,25,10,25
Kylian Mbappé,France,PSG,Forward,25,30,12,180
Erling Haaland,Norway,Manchester City,Forward,24,32,8,170
Kevin De Bruyne,Belgium,Manchester City,Midfielder,33,8,20,90
Luka Modrić,Croatia,Real Madrid,Midfielder,38,3,10,12
Virgil van Dijk,Netherlands,Liverpool,Defender,33,4,2,50
Jude Bellingham,England,Real Madrid,Midfielder,21,12,7,120
Marc-André ter Stegen,Germany,Barcelona,Goalkeeper,32,0,0,20
Achraf Hakimi,Morocco,PSG,Defender,26,5,6,65
